name,form_ict_index,photo,total_points,transfer_in,status,team,now_cost,position,team_shirt,postponed,news,news_added,transfer_in_event,transfer_out_event,selected_by_percent,points_per_game,in_dreamteam,cost_change_event
Siriki Dembélé,0.0,244085.png,0,2306,a,Bournemouth,4.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_91-66.webp,No,,,220,369,0.1,0.0,False,0
Mark Travers,0.0,229600.png,8,24117,a,Bournemouth,4.4,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_91-66.webp,No,,,764,"2,234",0.4,2.0,False,0
Ben Pearson,0.0,156687.png,6,50446,d,Bournemouth,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_91-66.webp,No,Knee injury - 25% chance of playing,2022-08-27T20:00:06.364295Z,127,"2,345",0.2,1.5,False,0
Emiliano Marcondes,0.0,133845.png,1,525,a,Bournemouth,4.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_91-66.webp,No,,,48,76,0.0,1.0,False,0
Jamal Lowe,0.0,128309.png,1,678,a,Bournemouth,5.3,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_91-66.webp,No,,2022-08-25T11:30:05.802904Z,83,140,0.0,1.0,False,0
David Brooks,0.0,111317.png,0,410,i,Bournemouth,5.3,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_91-66.webp,No,Hamstring injury - Unknown return date,2022-08-01T17:30:04.697617Z,39,86,0.0,0.0,False,0
Junior Stanislas,0.0,56872.png,2,1234,a,Bournemouth,4.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_91-66.webp,No,,2022-09-08T16:30:06.169229Z,80,112,0.0,1.0,False,0
Kaine Kesler Hayden,0.0,537043.png,0,1637,u,Aston Villa,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,Season-long loan to Huddersfield Town,2022-08-12T14:24:07.750145Z,0,196,0.1,0.0,False,0
Ludwig Augustinsson,0.0,155561.png,0,1334,a,Aston Villa,4.3,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,,2022-08-24T16:30:06.327738Z,158,263,0.1,0.0,False,0
Killian Phillips,0.0,532135.png,0,2232,a,Crystal Palace,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_31-66.webp,No,,,475,200,0.0,0.0,False,0
